sector,symbol,date_calendar,date_event,eps,estimatedEPS,eps_surprise,PRE_CAR,AR_0,AR_1,DRIFT_2_5,DRIFT_1_5,sentiment_0_10
Tech,GOOGL,7/27/2021,7/28/2021,1.36,0.97,0.39,0.015117495,0.031026506,-0.00885052,-0.005019718,-0.013870239,6.068808981
Tech,GOOGL,10/26/2021,10/27/2021,1.4,1.17,0.23,-0.048491542,0.054532101,-0.016672364,-0.017264861,-0.033937226,5.935468921
Tech,GOOGL,2/1/2022,2/2/2022,1.53,1.37,0.16,0.031945109,0.063704544,-0.003979312,-0.038464673,-0.042443985,6.16055991
Tech,GOOGL,4/26/2022,4/27/2022,1.23,1.3,-0.07,-0.000388931,-0.039873388,0.004750605,0.029657042,0.034407647,6.069404124
Tech,GOOGL,7/26/2022,7/27/2022,1.21,1.28,-0.07,-0.077232288,0.042239457,-0.006638572,0.004479144,-0.002159429,7.291543093
Tech,GOOGL,10/25/2022,10/26/2022,1.06,1.25,-0.19,-0.012249384,-0.081827307,-0.0218097,-0.039780796,-0.061590496,5.726923635
Tech,GOOGL,2/2/2023,2/3/2023,1.05,1.18,-0.13,0.070715292,-0.012788489,-0.009025645,-0.069466557,-0.078492202,6.055789427
Tech,GOOGL,4/25/2023,4/26/2023,1.17,1.07,0.1,0.027096559,0.005711247,0.008388926,-0.001585284,0.006803642,6.815634621
Tech,GOOGL,7/25/2023,7/26/2023,1.44,1.34,0.1,-0.021036323,0.056545648,0.009205646,-0.004268544,0.004937102,5.784695572
Tech,GOOGL,10/24/2023,10/25/2023,1.55,1.45,0.1,0.019009924,-0.079508161,-0.013830247,-0.003699683,-0.017529929,6.177312382
Tech,GOOGL,1/30/2024,1/31/2024,1.64,1.59,0.05,0.008963872,-0.054280886,-0.010717539,0.002951065,-0.007766474,5.690472014
Tech,GOOGL,4/25/2024,4/26/2024,1.89,1.51,0.38,-0.006733703,0.090517169,-0.037682971,0.006185348,-0.031497623,7.691240213
Tech,GOOGL,7/23/2024,7/24/2024,1.89,1.84,0.05,0.011013121,-0.021220673,-0.024866143,-0.008052747,-0.03291889,5.918004755
Tech,GOOGL,10/29/2024,10/30/2024,2.12,1.83,0.29,0.03562512,0.032863193,0.005857659,-0.012118285,-0.006260625,6.404553321
Tech,GOOGL,2/4/2025,2/5/2025,2.15,2.12,0.03,0.058833327,-0.077897287,-0.002916212,-0.038384616,-0.041300828,7.148199547
